annotation_id	typeOfAnalysis	p_times	ranking
R-HSA-76009	Target_Hypergeom	0.244	463.0
R-HSA-9675108	Target_NonCentral	0.113	464.0
R-HSA-1236394	Target_Hypergeom	0.211	464.25
R-HSA-5633007	Target_Hypergeom	0.245	465.0
R-HSA-9664424	Target_Hypergeom	0.28	465.75
R-HSA-9660826	Target_Hypergeom	0.28	465.75
R-HSA-3769402	Target_Hypergeom	0.216	467.25
R-HSA-9707616	Target_NonCentral	0.087	468.0
R-HSA-1442490	Target_Hypergeom	0.264	468.75
R-HSA-9662834	Target_Hypergeom	0.229	469.5
R-HSA-3000170	Target_Hypergeom	0.303	470.0
R-HSA-168898	Target_NonCentral	0.121	471.0
R-HSA-9013106	Target_NonCentral	0.13	471.0
R-HSA-450294	Target_Hypergeom	0.223	471.75
R-HSA-373760	Target_Hypergeom	0.219	472.0
R-HSA-1250196	Target_Hypergeom	0.209	472.5
R-HSA-5688426	Target_Hypergeom	0.215	472.5
R-HSA-1474290	Target_Hypergeom	0.233	473.75
R-HSA-8941326	Target_Hypergeom	0.245	473.75
R-HSA-1912422	Target_Hypergeom	0.168	474.0
R-HSA-168249	Target_NonCentral	0.118	474.0
R-HSA-5633008	Target_Hypergeom	0.313	474.5
R-HSA-9665348	Target_Hypergeom	0.182	475.25
R-HSA-1912408	Target_Hypergeom	0.154	477.0
R-HSA-73887	Target_NonCentral	0.116	478.0
R-HSA-8876384	Target_Hypergeom	0.193	479.25
R-HSA-3769402	Target_NonCentral	0.096	479.5
R-HSA-6798695	Target_NonCentral	0.138	479.5
R-HSA-9013404	Target_NonCentral	0.1	480.0
R-HSA-388396	Target_Hypergeom	0.248	480.5
R-HSA-69563	Target_Hypergeom	0.247	480.75
R-HSA-69580	Target_Hypergeom	0.247	480.75
R-HSA-166016	Target_NonCentral	0.117	482.0
R-HSA-75892	Target_Hypergeom	0.261	482.75
R-HSA-1368082	Target_Hypergeom	0.223	483.5
R-HSA-1643685	Target_NonCentral	0.142	484.5
R-HSA-354192	Target_Hypergeom	0.222	484.75
R-HSA-556833	Target_NonCentral	0.17	485.0
R-HSA-1566948	Target_Hypergeom	0.221	485.25
R-HSA-372790	Target_NonCentral	0.124	486.0
R-HSA-9006925	Target_NonCentral	0.058	486.0
R-HSA-388396	Target_NonCentral	0.11	487.0
R-HSA-556833	Target_Hypergeom	0.245	487.5
R-HSA-450282	Target_Hypergeom	0.201	488.25
R-HSA-8856828	Target_Hypergeom	0.163	490.0
R-HSA-447115	Target_Hypergeom	0.235	490.75
R-HSA-114604	Target_Hypergeom	0.222	491.0
R-HSA-877300	Target_Hypergeom	0.277	491.5
R-HSA-2871796	Target_Hypergeom	0.2	492.0
R-HSA-177929	Target_Hypergeom	0.216	492.5
R-HSA-187037	Target_NonCentral	0.08	492.5
R-HSA-2173788	Target_Hypergeom	0.215	493.5
R-HSA-1266738	Target_NonCentral	0.099	493.5
R-HSA-194138	Target_NonCentral	0.065	494.0
R-HSA-8957275	Target_Hypergeom	0.233	494.5
R-HSA-8957322	Target_NonCentral	0.177	494.5
R-HSA-5218920	Target_Hypergeom	0.224	495.0
R-HSA-193704	Target_NonCentral	0.093	495.0
R-HSA-422475	Target_NonCentral	0.087	495.5
R-HSA-2151201	Target_NonCentral	0.104	495.5
R-HSA-9679506	Target_Hypergeom	0.156	496.0
R-HSA-389357	Target_Hypergeom	0.221	497.0
R-HSA-8856825	Target_Hypergeom	0.147	498.0
R-HSA-9679506	Target_NonCentral	0.062	498.5
R-HSA-216083	Target_NonCentral	0.145	500.0
R-HSA-9013408	Target_Hypergeom	0.216	500.0
R-HSA-199418	Target_NonCentral	0.065	500.5
R-HSA-400206	Target_NonCentral	0.116	500.5
R-HSA-372790	Target_Hypergeom	0.225	500.5
R-HSA-388841	Target_NonCentral	0.113	501.5
R-HSA-9013423	Target_Hypergeom	0.189	501.75
R-HSA-1474244	Target_NonCentral	0.139	503.0
R-HSA-2426168	Target_Hypergeom	0.188	503.0
R-HSA-446107	Target_Hypergeom	0.162	503.25
R-HSA-9013423	Target_NonCentral	0.082	503.5
R-HSA-448424	Target_Hypergeom	0.19	504.0
R-HSA-9020591	Target_Hypergeom	0.225	504.0
R-HSA-6802957	Target_Hypergeom	0.132	505.0
R-HSA-1257604	Target_NonCentral	0.058	505.0
R-HSA-418885	Target_Hypergeom	0.211	506.0
R-HSA-2129379	Target_Hypergeom	0.207	506.25
R-HSA-2173789	Target_Hypergeom	0.197	509.75
R-HSA-1989781	Target_NonCentral	0.11	510.0
R-HSA-350054	Target_Hypergeom	0.219	511.5
R-HSA-1980143	Target_NonCentral	0.069	513.0
R-HSA-844456	Target_Hypergeom	0.232	513.5
R-HSA-6811558	Target_NonCentral	0.055	513.5
R-HSA-3000171	Target_NonCentral	0.107	514.0
R-HSA-186712	Target_NonCentral	0.108	514.0
R-HSA-198725	Target_NonCentral	0.086	514.5
R-HSA-6803205	Target_Hypergeom	0.241	514.75
R-HSA-418346	Target_Hypergeom	0.136	515.5
R-HSA-9013026	Target_NonCentral	0.121	516.0
R-HSA-204998	Target_NonCentral	0.099	516.0
R-HSA-9645723	Target_Hypergeom	0.18	516.25
R-HSA-9024446	Target_Hypergeom	0.225	516.75
R-HSA-1592389	Target_Hypergeom	0.305	517.0
R-HSA-5620971	Target_Hypergeom	0.243	517.25
R-HSA-211976	Target_Hypergeom	0.218	517.25
R-HSA-983705	Target_Hypergeom	0.23	517.75
R-HSA-168256	Target_NonCentral	0.21	518.0
R-HSA-9725370	Target_NonCentral	0.049	518.0
R-HSA-9700206	Target_NonCentral	0.049	518.0
R-HSA-397014	Target_NonCentral	0.085	519.5
R-HSA-166166	Target_NonCentral	0.087	520.5
R-HSA-937061	Target_NonCentral	0.087	520.5
R-HSA-9020558	Target_Hypergeom	0.211	520.5
R-HSA-1433557	Target_NonCentral	0.052	521.0
R-HSA-9013508	Target_Hypergeom	0.202	521.25
R-HSA-1592230	Target_NonCentral	0.07	521.5
R-HSA-392154	Target_Hypergeom	0.145	523.25
R-HSA-112316	Target_NonCentral	0.11	523.5
R-HSA-5663205	Target_Hypergeom	0.147	523.5
R-HSA-8940973	Target_Hypergeom	0.218	523.75
R-HSA-186797	Target_NonCentral	0.095	524.0
R-HSA-2219528	Target_NonCentral	0.066	524.0
R-HSA-114608	Target_NonCentral	0.108	524.0
R-HSA-2454202	Target_Hypergeom	0.157	524.5
R-HSA-2980736	Target_NonCentral	0.109	525.0
R-HSA-6806834	Target_NonCentral	0.045	525.5
R-HSA-9664422	Target_Hypergeom	0.146	527.5
R-HSA-9664417	Target_Hypergeom	0.146	527.5
R-HSA-9664407	Target_Hypergeom	0.146	527.5
R-HSA-4420097	Target_NonCentral	0.062	527.5
R-HSA-5653656	Target_NonCentral	0.073	528.0
R-HSA-1640170	Target_Hypergeom	0.235	528.0
R-HSA-1500931	Target_NonCentral	0.072	528.5
R-HSA-211897	Target_Hypergeom	0.246	528.75
R-HSA-982772	Target_Hypergeom	0.225	528.75
R-HSA-9711123	Target_Hypergeom	0.172	529.0
R-HSA-975155	Target_NonCentral	0.063	529.0
R-HSA-168164	Target_NonCentral	0.085	529.0
R-HSA-168188	Target_NonCentral	0.074	530.0
R-HSA-166058	Target_NonCentral	0.074	530.0
R-HSA-400253	Target_NonCentral	0.075	530.5
R-HSA-168181	Target_NonCentral	0.062	531.0
R-HSA-168138	Target_NonCentral	0.07	531.5
R-HSA-975138	Target_NonCentral	0.059	533.0
R-HSA-388841	Target_Hypergeom	0.185	533.25
R-HSA-9679191	Target_Hypergeom	0.12	533.5
R-HSA-9725370	Target_Hypergeom	0.154	533.5
R-HSA-9700206	Target_Hypergeom	0.154	533.5
R-HSA-76005	Target_NonCentral	0.105	534.5
R-HSA-9664565	Target_Hypergeom	0.122	534.75
R-HSA-181438	Target_NonCentral	0.077	535.0
R-HSA-168179	Target_NonCentral	0.077	535.0
R-HSA-381340	Target_NonCentral	0.058	535.0
R-HSA-416476	Target_Hypergeom	0.122	536.0
R-HSA-5683057	Target_NonCentral	0.032	537.0
R-HSA-168176	Target_NonCentral	0.051	537.0
R-HSA-975871	Target_NonCentral	0.051	537.0
R-HSA-168142	Target_NonCentral	0.051	537.0
R-HSA-3108232	Target_NonCentral	0.093	537.5
R-HSA-186712	Target_Hypergeom	0.185	538.5
R-HSA-163685	Target_NonCentral	0.069	538.5
R-HSA-5673001	Target_NonCentral	0.037	538.5
R-HSA-9670439	Target_Hypergeom	0.192	538.5
R-HSA-9669938	Target_Hypergeom	0.192	538.5
R-HSA-389356	Target_Hypergeom	0.191	538.75
R-HSA-6807070	Target_Hypergeom	0.098	539.5
R-HSA-186797	Target_Hypergeom	0.169	539.5
R-HSA-416482	Target_NonCentral	0.111	540.0
R-HSA-69278	Target_Hypergeom	0.226	540.0
R-HSA-1227990	Target_Hypergeom	0.13	541.5
R-HSA-195258	Target_Hypergeom	0.138	542.0
R-HSA-2990846	Target_NonCentral	0.09	542.0
R-HSA-450341	Target_Hypergeom	0.2	543.25
R-HSA-2151201	Target_Hypergeom	0.174	543.25
R-HSA-983231	Target_Hypergeom	0.122	544.0
R-HSA-9614085	Target_NonCentral	0.118	544.0
R-HSA-9013408	Target_NonCentral	0.092	544.5
R-HSA-8863795	Target_Hypergeom	0.157	544.75
R-HSA-9012852	Target_NonCentral	0.083	545.0
R-HSA-9662361	Target_Hypergeom	0.159	545.5
R-HSA-8957275	Target_NonCentral	0.111	545.5
R-HSA-114604	Target_NonCentral	0.091	546.0
R-HSA-6796648	Target_Hypergeom	0.172	546.75
R-HSA-373760	Target_NonCentral	0.064	547.0
R-HSA-6802957	Target_NonCentral	0.029	547.0
R-HSA-9031628	Target_NonCentral	0.09	547.0
R-HSA-446652	Target_Hypergeom	0.14	547.0
R-HSA-2871809	Target_Hypergeom	0.155	547.25
R-HSA-6802952	Target_Hypergeom	0.12	547.25
R-HSA-9711123	Target_NonCentral	0.058	548.0
R-HSA-5684996	Target_NonCentral	0.041	548.0
R-HSA-201556	Target_NonCentral	0.015	548.5
R-HSA-193648	Target_NonCentral	0.098	548.5
R-HSA-913531	Target_Hypergeom	0.258	548.5
R-HSA-418346	Target_NonCentral	0.051	549.0
R-HSA-2219530	Target_NonCentral	0.057	549.5
R-HSA-1655829	Target_Hypergeom	0.166	549.5
R-HSA-5633007	Target_NonCentral	0.103	550.0
R-HSA-9607240	Target_NonCentral	0.073	550.0
R-HSA-2122947	Target_NonCentral	0.057	550.0
R-HSA-8939243	Target_Hypergeom	0.188	550.25
R-HSA-168928	Target_Hypergeom	0.215	551.75
R-HSA-2894862	Target_NonCentral	0.061	552.0
R-HSA-2644603	Target_NonCentral	0.061	552.0
R-HSA-74751	Target_NonCentral	0.054	552.0
R-HSA-2644606	Target_NonCentral	0.061	552.0
R-HSA-2644602	Target_NonCentral	0.061	552.0
R-HSA-2894858	Target_NonCentral	0.061	552.0
R-HSA-418594	Target_NonCentral	0.058	552.0
R-HSA-186763	Target_Hypergeom	0.165	552.25
R-HSA-1430728	Target_NonCentral	0.191	552.5
R-HSA-2426168	Target_NonCentral	0.106	552.5
R-HSA-983169	Target_NonCentral	0.086	553.0
R-HSA-382551	Target_NonCentral	0.102	553.5
R-HSA-383280	Target_NonCentral	0.06	553.5
R-HSA-3928662	Target_Hypergeom	0.161	553.5
R-HSA-1980145	Target_NonCentral	0.096	554.0
R-HSA-8986944	Target_NonCentral	0.037	554.0
R-HSA-1655829	Target_NonCentral	0.101	554.5
R-HSA-2029480	Target_NonCentral	0.072	555.0
R-HSA-9705462	Target_Hypergeom	0.227	555.25
R-HSA-2262752	Target_NonCentral	0.116	555.5
R-HSA-199991	Target_NonCentral	0.068	556.0
R-HSA-76009	Target_NonCentral	0.073	556.5
R-HSA-8931987	Target_Hypergeom	0.123	556.75
R-HSA-1280218	Target_Hypergeom	0.129	557.0
R-HSA-195721	Target_Hypergeom	0.112	557.5
R-HSA-8953897	Target_NonCentral	0.12	558.5
R-HSA-381426	Target_NonCentral	0.117	558.5
R-HSA-212436	Target_NonCentral	0.14	558.5
R-HSA-418555	Target_NonCentral	0.051	558.5
R-HSA-9674555	Target_Hypergeom	0.204	558.75
R-HSA-5576891	Target_NonCentral	0.064	560.0
R-HSA-9694516	Target_NonCentral	0.057	560.0
R-HSA-375276	Target_NonCentral	0.14	560.0
R-HSA-9659379	Target_NonCentral	0.052	561.5
R-HSA-418990	Target_Hypergeom	0.136	562.75
R-HSA-195721	Target_NonCentral	0.048	563.5
R-HSA-9662360	Target_NonCentral	0.057	563.5
R-HSA-8856828	Target_NonCentral	0.037	564.0
R-HSA-3247509	Target_Hypergeom	0.122	565.0
R-HSA-4839726	Target_Hypergeom	0.122	565.0
R-HSA-202403	Target_NonCentral	0.12	565.0
R-HSA-9013695	Target_Hypergeom	0.183	566.0
R-HSA-445989	Target_Hypergeom	0.165	566.0
R-HSA-177929	Target_NonCentral	0.062	566.5
R-HSA-112315	Target_NonCentral	0.062	566.5
R-HSA-5687128	Target_Hypergeom	0.103	567.0
R-HSA-211945	Target_Hypergeom	0.208	567.25
R-HSA-6804758	Target_Hypergeom	0.159	567.25
R-HSA-3000178	Target_NonCentral	0.086	567.5
R-HSA-983231	Target_NonCentral	0.028	568.0
R-HSA-9659379	Target_Hypergeom	0.139	568.0
R-HSA-8856825	Target_NonCentral	0.021	568.0
R-HSA-983705	Target_NonCentral	0.069	568.0
R-HSA-6798695	Target_Hypergeom	0.165	569.0
R-HSA-1566948	Target_NonCentral	0.052	569.0
R-HSA-8878166	Target_NonCentral	0.042	570.0
R-HSA-1474228	Target_NonCentral	0.109	570.5
R-HSA-157118	Target_NonCentral	0.025	571.0
R-HSA-190236	Target_NonCentral	0.056	571.0
R-HSA-1227986	Target_NonCentral	0.039	572.0
R-HSA-9006927	Target_NonCentral	0.035	572.5
R-HSA-8848021	Target_NonCentral	0.035	572.5
R-HSA-5579029	Target_Hypergeom	0.187	573.0
R-HSA-1445148	Target_NonCentral	0.049	573.5
R-HSA-9013406	Target_NonCentral	0.078	574.0
R-HSA-5663205	Target_NonCentral	0.065	574.5
R-HSA-168928	Target_NonCentral	0.106	574.5
R-HSA-73857	Target_NonCentral	0.141	574.5
R-HSA-9658195	Target_NonCentral	0.045	574.5
R-HSA-182971	Target_Hypergeom	0.18	574.75
R-HSA-74160	Target_NonCentral	0.136	575.0
R-HSA-1236394	Target_NonCentral	0.059	576.0
R-HSA-201681	Target_NonCentral	0.042	576.5
R-HSA-8878159	Target_NonCentral	0.016	577.0
R-HSA-9662360	Target_Hypergeom	0.135	577.0
R-HSA-6794362	Target_NonCentral	0.12	577.5
R-HSA-8875878	Target_NonCentral	0.047	577.5
R-HSA-1251985	Target_Hypergeom	0.16	577.75
R-HSA-9664323	Target_Hypergeom	0.115	578.25
R-HSA-1280215	Target_NonCentral	0.199	578.5
R-HSA-9707564	Target_Hypergeom	0.118	578.5
R-HSA-6804760	Target_Hypergeom	0.208	579.25
R-HSA-6807070	Target_NonCentral	0.011	579.5
R-HSA-446652	Target_NonCentral	0.059	579.5
R-HSA-9679191	Target_NonCentral	0.023	579.5
R-HSA-5689880	Target_Hypergeom	0.103	579.5
R-HSA-2682334	Target_NonCentral	0.028	580.0
R-HSA-71387	Target_NonCentral	0.07	580.0
R-HSA-2871809	Target_NonCentral	0.075	580.0
