annotation_id	typeOfAnalysis	p_times	ranking
WP4206	Target_Hypergeom	0.419	252.0
WP4205	Target_Hypergeom	0.347	252.0
WP170	Target_NonCentral	0.071	253.5
WP4806	Target_NonCentral	0.064	254.0
WP268	Target_NonCentral	0.058	254.0
WP1584	Target_NonCentral	0.052	254.0
WP4823	Target_Hypergeom	0.389	254.25
WP2875	Target_NonCentral	0.107	254.5
WP5072	Target_NonCentral	0.065	254.5
WP322	Target_NonCentral	0.067	254.5
WP2795	Target_Hypergeom	0.338	255.0
WP4674	Target_NonCentral	0.088	255.0
WP2064	Target_NonCentral	0.087	255.0
WP536	Target_NonCentral	0.083	255.0
WP4331	Target_NonCentral	0.047	255.0
WP4925	Target_NonCentral	0.05	255.0
WP3613	Target_NonCentral	0.094	255.5
WP2526	Target_NonCentral	0.063	256.0
WP2034	Target_NonCentral	0.108	256.0
WP3995	Target_NonCentral	0.031	256.0
WP98	Target_Hypergeom	0.356	256.0
WP4666	Target_NonCentral	0.092	257.0
WP4341	Target_NonCentral	0.06	257.0
WP3844	Target_NonCentral	0.053	257.5
WP2857	Target_NonCentral	0.042	257.5
WP2363	Target_Hypergeom	0.341	258.0
WP4534	Target_Hypergeom	0.354	258.0
WP4357	Target_NonCentral	0.027	258.5
WP382	Target_NonCentral	0.092	259.0
WP5036	Target_NonCentral	0.051	259.0
WP534	Target_NonCentral	0.122	259.5
WP2848	Target_NonCentral	0.063	260.0
WP3935	Target_NonCentral	0.08	260.0
WP2374	Target_NonCentral	0.103	260.0
WP4566	Target_NonCentral	0.042	260.0
WP4255	Target_NonCentral	0.08	260.0
WP4856	Target_NonCentral	0.058	260.5
WP286	Target_NonCentral	0.055	260.5
WP3931	Target_NonCentral	0.074	260.5
WP4932	Target_NonCentral	0.069	261.0
WP4698	Target_NonCentral	0.054	261.0
WP3286	Target_Hypergeom	0.359	261.0
WP4018	Target_NonCentral	0.124	261.0
WP4336	Target_NonCentral	0.036	261.0
WP2853	Target_Hypergeom	0.326	261.25
WP3584	Target_Hypergeom	0.328	261.75
WP205	Target_NonCentral	0.017	262.0
WP4756	Target_NonCentral	0.082	262.0
WP185	Target_Hypergeom	0.34	262.25
WP2572	Target_NonCentral	0.035	262.5
WP2637	Target_NonCentral	0.03	263.0
WP5036	Target_Hypergeom	0.346	263.0
WP4352	Target_NonCentral	0.104	263.0
WP3678	Target_NonCentral	0.061	263.5
WP3940	Target_NonCentral	0.024	263.5
WP408	Target_NonCentral	0.029	264.0
WP1539	Target_NonCentral	0.056	264.0
WP4191	Target_Hypergeom	0.349	264.25
WP2447	Target_Hypergeom	0.359	264.25
WP3851	Target_Hypergeom	0.367	264.5
WP2525	Target_NonCentral	0.065	264.5
WP3972	Target_NonCentral	0.058	264.5
WP2643	Target_Hypergeom	0.331	264.75
WP3668	Target_NonCentral	0.031	265.0
WP2586	Target_NonCentral	0.071	265.0
WP4535	Target_Hypergeom	0.319	265.0
WP35	Target_NonCentral	0.063	265.5
WP4874	Target_NonCentral	0.019	265.5
WP98	Target_NonCentral	0.039	265.5
WP524	Target_NonCentral	0.048	265.5
WP4707	Target_Hypergeom	0.334	265.5
WP581	Target_NonCentral	0.056	266.0
WP3937	Target_NonCentral	0.114	266.5
WP4950	Target_NonCentral	0.063	266.5
WP241	Target_NonCentral	0.051	266.5
WP4211	Target_Hypergeom	0.33	267.5
WP4790	Target_NonCentral	0.008	268.0
WP3651	Target_NonCentral	0.028	268.0
WP3298	Target_NonCentral	0.092	268.0
